created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 24 23:29:06 +0000 2023;1,72E+18;@cnbcindonesia @msaid_didu Bismillah, ANIES BASWEDAN... Memilih beliau, pandangan agama beliau lebih dalam dari kedua capres lainnya.;0;0;0;0;in;7,10E+17;1,65E+18;andirunaidi12;https://twitter.com/andirunaidi12/status/1716960034788458577
Tue Oct 24 21:53:18 +0000 2023;1,72E+18;@bengkeldodo @gibran_tweet @P4P4B0W0_2024 @adri_7i @Ndons_Back @Gi_N0ng @tonybulumanu @BANGHAYEK @DarekaRendy @genx36545403 @mamamamabiasa Capres anies baswedan pinter diplomasi kgk planga plongo;0;0;0;0;in;1,61E+18;1,72E+18;RakyatBerisik;https://twitter.com/RakyatBerisik/status/1716935927006965937
Tue Oct 24 16:04:38 +0000 2023;1,72E+18;Inilah capres yg memikirkan rakyat  Dgn keadilan rakyat sejahtera  Anies baswedan presiden 2024 https://t.co/h15v89PLSS;0;0;0;0;in;9,34E+17;1,72E+18;xibass1;https://twitter.com/xibass1/status/1716848182876111167
Tue Oct 24 14:33:34 +0000 2023;1,72E+18;Capres Anies Baswedan menyebut kasus korupsi di Indonesia menjadi salah satu fokusnya jika menjadi presiden. https://t.co/2kwf4GlUXw;0;0;0;0;in;135795460;1,72E+18;detikfinance;https://twitter.com/detikfinance/status/1716825263336718757
Tue Oct 24 13:57:06 +0000 2023;1,72E+18;Harga Jam Tangan Capres 2024 Prabowo Subianto, Ganjar Pranowo, Anies Baswedan, Mana yang Termahal?  https://t.co/GHGZIruokU;0;0;0;0;in;1349806712;1,72E+18;nurasmi69;https://twitter.com/nurasmi69/status/1716816087294300419
Tue Oct 24 13:52:39 +0000 2023;1,72E+18;Koleksi jam tangan mewah capres Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan. Siapa yang lebih mahal?   https://t.co/Qb9XdRJZVc;0;0;0;0;in;1,70E+18;1,72E+18;hikayatkanan;https://twitter.com/hikayatkanan/status/1716814967482294666
Tue Oct 24 12:07:50 +0000 2023;1,72E+18;Berikut adalah perbandingan koleksi mobil tiga Capres yang akan ikut Pilpres 2024 yakni Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan menurut LKHPN.   Menarik kayaknya nih kalau bisa bahas isi garasi dari ketiga capres tersebut, setuju nggak gaes?;0;1;0;0;in;118646322;1,72E+18;Bisniscom;https://twitter.com/Bisniscom/status/1716788589902844387
Tue Oct 24 12:07:50 +0000 2023;1,72E+18;PRABOWO, GANJAR DAN ANIES BASWEDAN  Adu kece garasi tiga capres yang akan ikut Pilpres 2024  Isi garasi siapa yang paling mewah nih Sobat Bisnis? https://t.co/5bSZAVtJgr;0;2;3;10;in;118646322;1,72E+18;Bisniscom;https://twitter.com/Bisniscom/status/1716788587092693140
Tue Oct 24 12:01:07 +0000 2023;1,72E+18;Pasangan Capres Cawapres Anies baswedan dan Muhaimin iskandar (AMIN) kompak menghadiri resepsi peringatan Hari santri Nasional 2023 di Tegalrejo, Magelang, Jawa Tengah.  Pasangan calon presiden dan wakil presiden dari Koalisi Perubahan ini nampak tiba di lokasi sekitar pukul… https://t.co/bftdy9tCvU;0;0;37;149;in;55507370;1,72E+18;tvOneNews;https://twitter.com/tvOneNews/status/1716786899619312117
Tue Oct 24 11:55:54 +0000 2023;1,72E+18;@ShamsiAli2 Dilematis banget..kalo cuma ada dua kandidat capres, pilih Prabowo wapresnya Gibran,pilih pak Mahfud capres nya Ganjar ,,Untung ada pak Anies Baswedan,, Alhamdulilah ketolong, Aamiin 🤲;0;3;4;31;in;1,43E+18;1,72E+18;Safa_Andriana;https://twitter.com/Safa_Andriana/status/1716785583589380207
Tue Oct 24 11:30:00 +0000 2023;1,72E+18;Capres Koalisi Perubahan, Anies Baswedan meyakini Presiden Joko Widodo bersikap netral dan tidak akan menyalahgunakan fasilitas negara untuk anak sulungnya Gibran Rakabuming Raka di Pilpres 2024. https://t.co/XVVZrCZ3Ye;4;2;4;23;in;69183155;1,72E+18;detikcom;https://twitter.com/detikcom/status/1716779065972269374
Tue Oct 24 11:00:59 +0000 2023;1,72E+18;Lembaga Survei Indonesia (LSI) menghitung distribusi suara partai politik (parpol) yang bermuara kepada tiga calon presiden, yakni Prabowo Subianto, Ganjar Pranowo, dan Anies Baswedan.  https://t.co/PzSnDzRh36  #SurveiLSI #PartaiPolitik #Pemilu2024 #Capres #Databoks https://t.co/G37e85u4dR;1;0;4;7;in;1,32E+18;1,72E+18;databoksid;https://twitter.com/databoksid/status/1716771764615745624
Tue Oct 24 10:46:04 +0000 2023;1,72E+18;Jokowi Bilang Dukung Semua Capres, Anies Baswedan: Keren kan Kalau Memang Netral https://t.co/PhqEPG7dGq;0;16;24;116;in;41730943;1,72E+18;VIVAcoid;https://twitter.com/VIVAcoid/status/1716768012391657892
Tue Oct 24 10:37:52 +0000 2023;1,72E+18;#NAME?;0;0;0;0;in;93475358;1,72E+18;bayuthedragon;https://twitter.com/bayuthedragon/status/1716765948978622641
Tue Oct 24 10:08:07 +0000 2023;1,72E+18;Kaum buruh jabar siap dukung capres 2024 bpk anies baswedan yg amanah adil dan peduli dgn rakyat https://t.co/AOu3tgDSVM;0;0;0;0;in;9,34E+17;1,72E+18;xibass1;https://twitter.com/xibass1/status/1716758459113410607
Tue Oct 24 09:30:53 +0000 2023;1,72E+18;@aniesbaswedan Kira² ada yg Tau nggak ya ini orang ngomong apa😀  https://t.co/JcRWRGJdC1  Capres Anies Baswedan menyinggung soal kepercayaan dunia terhadap Indonesia, terlihat dari tanda tangan kontrak investasi.;0;0;0;1;in;1,65E+18;1,72E+18;Siswant72846784;https://twitter.com/Siswant72846784/status/1716749091521417317
Tue Oct 24 09:27:50 +0000 2023;1,72E+18;Capres Anies Baswedan menyinggung soal kepercayaan dunia terhadap Indonesia, terlihat dari tanda tangan kontrak investasi. https://t.co/kF1K1O6Jup;0;0;0;1;in;135795460;1,72E+18;detikfinance;https://twitter.com/detikfinance/status/1716748321832726848
Tue Oct 24 08:20:43 +0000 2023;1,72E+18;Sementara dua pasangan capres-cawapres yakni Anies Baswedan - Muhaimin Iskandar dan Ganjar Pranowo - Mahfud MD sudah mendaftar ke Komisi Pemilihan Umum (KPU). #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1017294361;1,72E+18;maineescario19;https://twitter.com/maineescario19/status/1716731431454667019
Tue Oct 24 08:19:46 +0000 2023;1,72E+18;Berikut elektabilitas 3 pasangan capres dan cawapres versi survei LSI: -Prabowo Subianto-Erick Thohir 38% -Ganjar Pranowo-Mahfud Md 32,3% -Anies Baswedan-Muhaimin Iskandar 22,9% TT/TJ: 6,9% #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1017294361;1,72E+18;maineescario19;https://twitter.com/maineescario19/status/1716731192324858242
Tue Oct 24 08:01:02 +0000 2023;1,72E+18;Saat ini, telah ada dua pasang bakal capres-cawapres yang mendaftar di Komisi Pemilihan Umum, yakni Anies Baswedan-Muhaimin Iskandar dan Ganjar Pranowo-Mahfud MD. #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,62E+18;1,72E+18;tono14045;https://twitter.com/tono14045/status/1716726480569549219
Tue Oct 24 07:48:00 +0000 2023;1,72E+18;Diantara tiga kontestan Capres yg ELEGANCE tenang santun dan slalu berkata baik murah senyum  adalah ANIES BASWEDAN.;0;1;4;9;in;1,67E+18;1,72E+18;Andria75777;https://twitter.com/Andria75777/status/1716723198908411986
Tue Oct 24 07:32:02 +0000 2023;1,72E+18;Pak Anies Memang Capres Terbaik, 2024 Nanti Pak Anies Baswedan yakin Bakal Memenangkan Pemilu. #AniesBercita_Cita https://t.co/CSSI46sd5l;0;0;0;0;in;1,70E+18;1,72E+18;HasanRowi;https://twitter.com/HasanRowi/status/1716719181935378692
Tue Oct 24 07:31:41 +0000 2023;1,72E+18;Anies Baswedan ingin lebih memerhatikan pengelolaan pangan di Indonesia supaya bisa lebih menghasilkan pangan yang lebih besar. Capresku emang beda dari capres yang lain sangat idaman deh beliau😍  Anies Bercita-cita #AniesBercita_cita https://t.co/6SYpkWo2ct;0;0;0;0;in;1,42E+18;1,72E+18;concertmrkl;https://twitter.com/concertmrkl/status/1716719093250928943
Tue Oct 24 07:10:48 +0000 2023;1,72E+18;Pak Anies Memang Capres Terbaik, 2024 Nanti Pak Anies Baswedan yakin Bakal Memenangkan Pemilu. #AniesBercita_Cita https://t.co/8OdKRy2fJ8;0;0;0;0;in;1,70E+18;1,72E+18;AdipNazmi;https://twitter.com/AdipNazmi/status/1716713835950936408
Tue Oct 24 06:24:15 +0000 2023;1,72E+18;@mbahjhojho Yuk pendukung @aniesbaswedan , kita berpolitik dan berjuang dengan santun ... Gak usah urusin Calon lain... Kita jual Prestasi Capres dukungan kita ... Mari sebar poster Anies Baswedan dan prestasi2 nya ... https://t.co/76LXLBR46i;0;0;0;1;in;1,60E+18;1,72E+18;Vickyone777;https://twitter.com/Vickyone777/status/1716702124166504466
Tue Oct 24 06:19:20 +0000 2023;1,72E+18;@AdamVelcro Yuk pendukung @aniesbaswedan , kita berpolitik dan berjuang dengan santun ... Gak usah urusin Calon lain... Kita jual Prestasi Capres dukungan kita ... Mari sebar poster Anies Baswedan dan prestasi2 nya ... https://t.co/EoZZytIrfA;0;0;0;2;in;1,60E+18;1,72E+18;Vickyone777;https://twitter.com/Vickyone777/status/1716700885626273913
Tue Oct 24 06:14:56 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar dan Ganjar Pranowo-Mahfud MD sudah lebih dulu mendaftar ke Komisi Pemilihan Umum. #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,62E+18;1,72E+18;neinaadella07;https://twitter.com/neinaadella07/status/1716699777805791674
Tue Oct 24 06:05:53 +0000 2023;1,72E+18;Pak Anies Memang Capres Terbaik, 2024 Nanti Pak Anies Baswedan yakin Bakal Memenangkan Pemilu. #AniesBercita_Cita https://t.co/qYYXG0KVT8;0;0;0;0;in;1,70E+18;1,72E+18;EgoSumargo;https://twitter.com/EgoSumargo/status/1716697499069718871
Tue Oct 24 05:58:15 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716695580074979548
Tue Oct 24 05:57:39 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716695427230425534
Tue Oct 24 05:56:53 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716695234141413413
Tue Oct 24 05:56:20 +0000 2023;1,72E+18;@awemany Problem besar pendukung Demokrat itu merasa punya kartu mati kalo bukan AHY cawapres dan Demokrat ancam keluar koalisi Maka ANIES BASWEDAN tidak akan dapat ticket capres tanpa Demokrat.... Ternyata zonk juga Shame on you 🤣🤣🤣;0;0;4;26;in;1,61E+18;1,72E+18;TriyonoSetiawa5;https://twitter.com/TriyonoSetiawa5/status/1716695095423201586
