created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 22 23:52:48 +0000 2023;1,72E+18;@sisi_absurd @cryufh @idextratime Ya kalo gw pribadi sih pengen ngasih kesempatan buat pak prabowo sebelum dia pensi, sampe kalah 2x dan masih mau nyalonin sampe penasaran sama beliau.. nanti Monggo pak Anis atau pak Ganjar atau capres lainnya klo mau nerusin tp ini waktunya beliau dulu;0;1;0;0;in;1,25E+18;1,72E+18;febisptn;https://twitter.com/febisptn/status/1716241224368374224
Sun Oct 22 23:52:00 +0000 2023;1,72E+18;Yuk fokus aja menangkan Ganjar - Mahfud. Kita gak usah urusi capres/cawapres dan figur lain. FOKUS..!!! @ganjarpranowo @mohmahfudmd #GanjarMahfud2024  #GanjarMahfudSatset  #FOKUSGANJARMAHFUD;0;1;0;2;in;250109196;1,72E+18;drezie00;https://twitter.com/drezie00/status/1716241022706213242
Sun Oct 22 23:47:44 +0000 2023;1,72E+18;#Repost @kpu_ri  Gabungan Partai Politik PDI Perjuangan, PPP, Perindo dan Hanura mendaftarkan Ganjar Pranowo dan Mohammad Mahfud M sebagai Bakal Pasangan Capres dan Cawapres Pemilu Tahun 2024 ke kantor KPU pada pukul 12.20 WIB, Kamis (19/10/2023). https://t.co/l4G5wqeOjr;0;0;0;0;in;7,15E+17;1,72E+18;KPU_Makassar;https://twitter.com/KPU_Makassar/status/1716239948654014944
Sun Oct 22 23:44:47 +0000 2023;1,72E+18;Apa mungkin prasangka salahku ini,, akan Jadi Kenyataan:  Putaran ke Dua di Pilpres 2024 Ganjar-Gibran (GAGI) bisa di Usung bersama sebagai Capres-Cawapres untuk mengalahkan Anis-Amin?;0;0;0;0;in;2926296134;1,72E+18;AdunkLaw;https://twitter.com/AdunkLaw/status/1716239207675601146
Sun Oct 22 23:44:45 +0000 2023;1,72E+18;@KiCebongMachine @ganjarpranowo @mohmahfudmd @jokowi @gibran_tweet @GunRomli @Dennysiregar7 @AK__aja @Syarman59 @kesittt @_Rizmaya__ @Cintada16 @sahabatganjar @AbankTho2 Negarawan itu tdk hanya tidak korupsi,tapi hrs juga punya etika,moral,dan cara mendidik anak2 dgn baik dlm keluarga..aplg bila posisi negarawan itu adalah Capres/Cawapres,maka track recordnya hrs bersih.;0;1;0;1;in;278039207;1,72E+18;Megatop99;https://twitter.com/Megatop99/status/1716239197605077410
Sun Oct 22 23:44:36 +0000 2023;1,72E+18;Hasil Survei Terbaru Capres 2024: Prabowo Vs Ganjar Vs Anies https://t.co/1w7YXp3j9A;0;0;0;1;in;8,47E+17;1,72E+18;cnbcindonesia;https://twitter.com/cnbcindonesia/status/1716239161437638673
Sun Oct 22 23:44:31 +0000 2023;1,72E+18;Peruntungan Capres Berdasar Hari Deklarasi, Ganjar Mirip Jokowi, Anies Tangguh, Bagaimana dengan Prabowo? | Politik https://t.co/2sT7TduPpq;0;0;0;0;in;1067319098;1,72E+18;eR_Haryadi;https://twitter.com/eR_Haryadi/status/1716239139308490789
Sun Oct 22 23:40:25 +0000 2023;1,72E+18;Apakah Koster ini pendukung Capres lain yang disusupkan ke kubu Ganjar ?  Aksi2nya sangat luar biasa signifikan hancurin suara Ganjar mulai dari Batalin Pildun U20 dan skr mengklaim Jokowi gak ngefek di Bali.  Beliau pantas dapat jatah menteri kelak 😄🙏  https://t.co/D89CCKv91o;14;162;82;403;in;46651600;1,72E+18;kurawa;https://twitter.com/kurawa/status/1716238108424061413
Sun Oct 22 23:37:21 +0000 2023;1,72E+18;@YBILLIONAIRE_ID @Dennysiregar7 @gibran_tweet Iki yok opo karepe kader banteng malah dadi cawapres e gerindo...lawong banteng duwe capres Dewe niat ape adu banteng ta piye wah wah ... Gak bedo Karo AB koe Lee ambisi...tetep pak Ganjar Mahfud lebih matang dan berkualitas;0;0;0;0;in;1,46E+18;1,72E+18;ceps_o;https://twitter.com/ceps_o/status/1716237334977589303
Sun Oct 22 23:33:51 +0000 2023;1,72E+18;Paguyuban Kades di Brebes deklarasi dukung Ganjar Capres  #GanjarPranowo #GanjarSelaluTerbaik https://t.co/LZDySFIfrR;0;2;3;9;in;9,65E+17;1,72E+18;Dewilesta7;https://twitter.com/Dewilesta7/status/1716236455197241494
