created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 22 23:57:55 +0000 2023;1,72E+18;@ajengcute16__ Ngaca dong ngaca, masalahnya bkn pd pasangan capres tp pd postingan kau yg memuakan bikin org org hilang simpatik pd prabowo bahkan narasi abu janda msh lbh bermartabat dr kata kata yg kau susun;0;0;2;13;in;1,08E+18;1,72E+18;biusmalam;https://twitter.com/biusmalam/status/1716242512078422404
Sun Oct 22 23:54:24 +0000 2023;1,72E+18;Komposisi capres cawapres nya aneh, kalo pak prabowo mau menang harus nya cawapres nya bukan gibran. Apalagi masyarakat tau putusan mk tiba-tiba berubah pas deket2 pemilu mana ada rakyat percaya sama duo ini kalo gitu, pasangan AMIN jg aneh;0;0;0;0;in;1,42E+18;1,72E+18;gulasumsel;https://twitter.com/gulasumsel/status/1716241626400772363
Sun Oct 22 23:53:22 +0000 2023;1,72E+18;@Simbok_Dharmi @PDI_Perjuangan Mbak mau tanya..dlm kasus si bocil gibran. Misal @PDI_Perjuangan tdk memecatnya sbg kader atau menolak permohonan gibran utk jd cawapres penculik,apakah @KPU_ID bisa menerima pasangan prabowo gibran sbg capres cawapres?mengingat si bocil @gibran_tweet masih kader @PDI_Perjuangan;0;1;0;2;in;1,23E+18;1,72E+18;BangBen26616216;https://twitter.com/BangBen26616216/status/1716241364374217130
Sun Oct 22 23:52:48 +0000 2023;1,72E+18;@sisi_absurd @cryufh @idextratime Ya kalo gw pribadi sih pengen ngasih kesempatan buat pak prabowo sebelum dia pensi, sampe kalah 2x dan masih mau nyalonin sampe penasaran sama beliau.. nanti Monggo pak Anis atau pak Ganjar atau capres lainnya klo mau nerusin tp ini waktunya beliau dulu;0;1;0;0;in;1,25E+18;1,72E+18;febisptn;https://twitter.com/febisptn/status/1716241224368374224
Sun Oct 22 23:52:20 +0000 2023;1,72E+18;@naaooollll Gua nggak tuh, malah bersyukur dengan Gibran jadi capres Prabowo, malah tambah yakin AMIN bakal menang 1 putaran.😂🙏;0;0;1;5;in;2979469087;1,72E+18;GengkiIshak;https://twitter.com/GengkiIshak/status/1716241106923589731
Sun Oct 22 23:51:23 +0000 2023;1,72E+18;@Makula2804 @aniesmania Masa Prabowo dan Jokowi itu tdk beda terlampau jauh. Sangat berbeda dgn capres yg ada saat ini, masa pak Anies bagai lautan manusia di Jawa maupun diluar Jawa.  Pengerahan masa itu dpt terjadi jika si capres kaya raya, noh pak Anies aja yg paling miskin. 🥱;0;0;0;0;in;1,70E+18;1,72E+18;yandilaughtale;https://twitter.com/yandilaughtale/status/1716240868104126695
Sun Oct 22 23:45:27 +0000 2023;1,72E+18;@Bimasat49 @PartaiSocmed Prabowo di paksa milih antara putra mahkota atau paman saya akan memutuskan syarat capres maksimal 70 tahun yg baru akan di putuskan hari ini wkwkwk;0;0;0;1;in;1,45E+18;1,72E+18;Harjin01;https://twitter.com/Harjin01/status/1716239372830568819
Sun Oct 22 23:44:36 +0000 2023;1,72E+18;Hasil Survei Terbaru Capres 2024: Prabowo Vs Ganjar Vs Anies https://t.co/1w7YXp3j9A;0;0;0;1;in;8,47E+17;1,72E+18;cnbcindonesia;https://twitter.com/cnbcindonesia/status/1716239161437638673
Sun Oct 22 23:44:31 +0000 2023;1,72E+18;Peruntungan Capres Berdasar Hari Deklarasi, Ganjar Mirip Jokowi, Anies Tangguh, Bagaimana dengan Prabowo? | Politik https://t.co/2sT7TduPpq;0;0;0;0;in;1067319098;1,72E+18;eR_Haryadi;https://twitter.com/eR_Haryadi/status/1716239139308490789
Sun Oct 22 23:42:00 +0000 2023;1,72E+18;Bagaimana kalo gugatan batas maksimal pendaftaran pilpres diterima. Prabowo ga jadi, gibran jadi capres, ahy jadi cawapres wkwk;0;0;0;0;in;1,01E+18;1,72E+18;wahyuciptoutomo;https://twitter.com/wahyuciptoutomo/status/1716238505763041610
Sun Oct 22 23:38:00 +0000 2023;1,72E+18;Belum jadi presiden aja tidak punya ketegasan, siapa yg akan jadi wapres nya. Itu menandakan diantara koalisi Indonesia maju, tidak punya calon capres yg qualifide. Sehingga mengambil Gibran yg belum berpengalaman sebagai orng no.2 di Indonesia, prabowo...prabowo.;0;0;0;0;in;1,56E+18;1,72E+18;Lgunawan18;https://twitter.com/Lgunawan18/status/1716237500078026897
Sun Oct 22 23:37:32 +0000 2023;1,72E+18;@DediMulyadi71 Kang, sepertinya mas Bowo @prabowo akan Hattrick Kekalahannya sbg CAPRES di 2024 ini, ini Urus negara BUKAN level Kabupaten/Kota, @gibran_tweet Pemimpin utk masa depan 10-15thn ke depan, ingat Mangga yg MUDA Pasti ASEM, yg Doyan ibu2 yg Hamil Krn lg ngidam buah😀😁 @jokowi;0;0;0;0;in;134698541;1,72E+18;PejuangReceh167;https://twitter.com/PejuangReceh167/status/1716237382398492873
Sun Oct 22 23:36:36 +0000 2023;1,72E+18;@CeciliaSuwanda1 @Dahnilanzar @prabowo Kalo putusan MK meembatasi usia maksimum capres 70 tahun, ngga jadi soal juga, tinggal kasi pengecualian saja. 😂  Pokok e tinggal atur, utak atik, sampai jadi 😁  Gitu aja kok repot, #MahkamahKeluarga gitu loh 😜;0;0;0;0;in;1,03E+18;1,72E+18;sangamei;https://twitter.com/sangamei/status/1716237145101447667
Sun Oct 22 23:36:12 +0000 2023;1,72E+18;Mau milih ganjarmahfud. Suka cawapresnya tp gak suka capresnya DAN PARTAINYA.  Mau milih Anies makin gak sreggg aja capres dan cawapresnya wkwk  Mau milih Prabowo. Gak sreg ama cawapresnya. TAPI seteleha tau tingkat kepuasaan warga solo setelah dipimpin Gibran 94%. Yakin All in!!;0;0;0;0;in;556640121;1,72E+18;ayoksholat;https://twitter.com/ayoksholat/status/1716237044190785919
Sun Oct 22 23:35:07 +0000 2023;1,72E+18;Kalau YR dikabulkan, siapa kira2 pengganti Prabowo ? Kalau Ki Ajar boleh usul yang cocok si Ibu Iriana.. MK Akan Putuskan Capres Usia 70 Tahun, Gimana Nasib Prabowo? https://t.co/xkCPYGvsep;0;0;1;2;in;1,65E+18;1,72E+18;ajarurip2;https://twitter.com/ajarurip2/status/1716236775067435446
Sun Oct 22 23:35:07 +0000 2023;1,72E+18;Koalisi Indonesia Maju (KIM) resmi menjadikan Gibran Rakabuming Raka sebagai bakal calon wakil presiden untuk mendampingi Prabowo Subianto. Namun, pasangan Prabowo-Gibran masih harus menanti putusan MK soal batas maksimal usia capres. https://t.co/gKfBrAGjFj;2;6;3;19;in;23772644;1,72E+18;BBCIndonesia;https://twitter.com/BBCIndonesia/status/1716236771682394598
Sun Oct 22 23:34:38 +0000 2023;1,72E+18;@Dennysiregar7 @obedNababaN @jokowi Memang Jokowi pemain catur handal dengan strategi jangka panjang. Makanya Prabowo yang tadinya rival capres Jokowi direkrutnya untuk tujuan jangka panjang.;0;0;0;0;in;1,22E+18;1,72E+18;prasetya_nuk;https://twitter.com/prasetya_nuk/status/1716236650454683840
Sun Oct 22 23:33:31 +0000 2023;1,72E+18;Prabowo kalau Ama gibran auto menang cuy.  Kalau ada yg mau taruhan capres pilih aja Prabowo bro😂 kalau punya uang all in aja .  23-10-2023;0;0;0;1;in;1,16E+18;1,72E+18;budakbungsu765;https://twitter.com/budakbungsu765/status/1716236372170903978
Sun Oct 22 23:32:20 +0000 2023;1,72E+18;@yusufagro @prabowo @99propaganda @alextham878 @Alie_Fahnoor @AlmaghribiS @BANGSAygSUJUD @Bank_Joee_ @Chaves1305 @DarekaRendy @Kimberley_2024 Semua capres petugas partai karena ditugaskan oleh partai, kalau tidak mau dikatakan petugas partai ya lewat jalur independen;0;0;0;1;in;1,26E+18;1,72E+18;MasJuni16;https://twitter.com/MasJuni16/status/1716236072840257724
